cap-texture,spore-pattern,stem-flexibility,ring-thickness,cap-shape,cap-surface,cap-color,gill-attachment,stalk-shape,veil-type,veil-color,ring-number,population,habitat,class
j,i,a,a,x,s,n,f,e,p,w,o,s,u,p
m,g,f,c,x,s,y,f,e,p,w,o,n,g,e
m,c,e,a,b,s,w,f,e,p,w,o,n,m,e
e,i,j,b,x,y,w,f,e,p,w,o,s,u,p
b,i,h,b,x,s,g,f,t,p,w,o,a,g,e
e,f,h,c,x,y,y,f,e,p,w,o,n,g,e
h,a,c,c,b,s,w,f,e,p,w,o,n,m,e
b,j,e,a,b,y,w,f,e,p,w,o,s,m,e
p,d,j,c,x,y,w,f,e,p,w,o,v,g,p
n,m,c,c,b,s,y,f,e,p,w,o,s,m,e
a,o,a,c,x,y,y,f,e,p,w,o,n,g,e
e,i,j,a,x,y,y,f,e,p,w,o,s,m,e
l,e,c,c,b,s,y,f,e,p,w,o,s,g,e
g,b,b,b,x,y,w,f,e,p,w,o,v,u,p
g,n,a,c,x,f,n,f,t,p,w,o,a,g,e
e,c,i,a,s,f,g,f,e,p,w,o,y,u,e
r,g,b,c,f,f,w,f,t,p,w,o,a,g,e
n,h,b,c,x,s,n,f,e,p,w,o,s,g,p
s,m,a,b,x,y,w,f,e,p,w,o,s,u,p
f,i,b,b,x,s,n,f,e,p,w,o,s,u,p
h,f,f,b,b,s,y,f,e,p,w,o,s,m,e
i,h,c,c,x,y,n,f,e,p,w,o,v,g,p
g,e,e,b,b,y,y,f,e,p,w,o,s,m,e
j,g,h,a,b,y,w,f,e,p,w,o,n,m,e
i,g,a,a,b,s,w,f,e,p,w,o,s,m,e
l,d,i,c,f,s,w,f,e,p,w,o,v,g,p
h,l,i,a,x,y,y,f,e,p,w,o,n,m,e
l,j,a,b,x,y,w,f,e,p,w,o,n,m,e
d,d,h,c,f,f,n,f,e,p,w,o,y,u,e
f,o,e,a,x,s,y,f,t,p,w,o,v,d,e
a,l,g,c,b,s,y,f,e,p,w,o,n,m,e
d,o,f,b,x,y,w,f,e,p,w,o,s,u,p
s,m,d,c,x,y,y,f,e,p,w,o,n,m,e
h,l,i,b,x,y,n,f,e,p,w,o,y,p,e
